index,rms,spec_cent,spec_bw,rolloff,zcr,mfccs_0,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12,instrument,note_played
0,0.0001607509,2491.907085941253,2916.1294926101596,6040.0634765625,0.0673828125,-820.6589,83.183334,23.247353,22.135479,2.9641342,8.897739,11.279961,-7.8655424,-11.652519,-2.7509897,1.7726662,6.532792,-4.786281,65,F#6
1,0.0005221448,2792.7834730447853,2277.3225441211075,4661.9384765625,0.11474609375,-696.30115,71.9778,-11.16482,31.819843,-16.174505,21.59877,21.529854,-10.986319,-28.010841,-2.4128432,18.687237,9.9355755,-18.375694,65,F#6
2,0.0008561087,3075.8191865056565,2160.0397203434104,5760.1318359375,0.18505859375,-640.45135,54.557007,-18.597322,30.900208,-23.562096,20.27064,18.393993,-5.054864,-29.625303,3.3978698,21.301987,9.676937,-24.93634,65,F#6
3,0.0010708764,3338.254173560844,2216.4034373994596,5889.3310546875,0.24072265625,-621.4486,37.8329,-15.109337,29.307522,-24.808172,10.052188,7.652029,-6.311982,-25.834526,6.962405,13.731726,7.726318,-23.912071,65,F#6
4,0.0011591675,3617.5922188988015,2261.8737297639786,5900.09765625,0.2666015625,-612.62836,26.575611,-10.578928,30.271137,-19.305159,10.7164955,5.151642,-8.619569,-23.104372,4.8483,3.400288,4.1569715,-15.267242,65,F#6
5,0.0012892514,3631.707987106445,2362.351822941636,5900.09765625,0.26318359375,-588.52313,33.568993,-7.76064,31.038284,-21.79929,5.6218286,-2.8966043,-13.2345,-21.500618,5.345027,-2.1531856,-0.8664414,-10.606586,65,F#6
6,0.0013185195,3416.30986940175,2389.6330676629545,5846.2646484375,0.228515625,-576.04224,38.686836,-13.2001505,30.147934,-23.16539,7.460784,-2.7117426,-16.214901,-25.060257,1.3913414,-5.273279,-3.5607271,-13.461967,65,F#6
7,0.0012666847,3288.721473266557,2358.4624862971873,5835.498046875,0.2041015625,-589.7041,38.298782,-15.630644,31.618431,-18.498335,14.488539,2.9950638,-12.496555,-25.115303,-2.1086502,-5.893171,-5.4290676,-16.112324,65,F#6
8,0.0013782656,3366.331272119147,2271.0041357030896,5878.564453125,0.20361328125,-615.0667,35.01008,-14.505648,31.664303,-21.666546,15.54771,3.0701349,-12.027492,-26.545376,-2.0025702,-0.43294716,-6.396142,-17.35862,65,F#6
9,0.0014867149,3300.312175739459,2172.1281041570705,5889.3310546875,0.2275390625,-623.87354,42.806816,-12.139383,33.198273,-25.94125,11.463394,2.9962003,-12.477955,-27.34095,-0.371737,0.017958224,-1.6560979,-19.800978,65,F#6
