index,rms,spec_cent,spec_bw,rolloff,zcr,mfccs_0,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12,instrument,note_played
0,0.0001457431,2868.8487540987558,2251.9561225353814,5383.30078125,0.06982421875,-713.07684,45.34903,-73.572945,-25.884277,-20.893124,15.513799,-0.5444541,13.56703,8.572254,0.58351624,3.6262922,14.231767,-3.6470222,44,TpC-ord-A5-pp-N-T26d
1,0.000418657,2738.2434922291313,2150.2015344180872,4801.904296875,0.0908203125,-711.6577,38.62851,-84.51678,-27.5429,-24.421455,-0.69806397,-0.6935324,24.47062,12.947863,-2.9774907,5.563282,12.140993,-9.655983,44,TpC-ord-A5-pp-N-T26d
2,0.00094934896,2170.3035849541825,1889.2889413955863,3563.7451171875,0.11083984375,-751.43945,27.992245,-90.924255,-16.6445,-16.930595,-18.185349,2.5710912,31.728996,31.395226,4.086917,-9.533108,-9.067279,-16.02391,44,TpC-ord-A5-pp-N-T26d
3,0.0013275208,1754.4015637195994,1659.2987600951121,2702.4169921875,0.09375,-736.5905,37.92779,-89.37442,-28.77531,-25.703213,-8.815304,11.451715,29.726925,33.234627,13.448979,-13.878736,-18.922663,-16.63247,44,TpC-ord-A5-pp-N-T26d
4,0.0017025222,1660.5958106638946,1608.3061807402898,2648.583984375,0.08154296875,-731.77203,39.25241,-89.45683,-37.94322,-31.790443,0.3734219,12.79715,25.319996,30.85619,12.647591,-10.95063,-18.444862,-14.629509,44,TpC-ord-A5-pp-N-T26d
5,0.0019938308,1623.6385162922752,1649.859772827379,2368.65234375,0.08056640625,-749.8256,28.14473,-81.25871,-30.621086,-26.252401,-1.5000439,9.588425,24.75179,35.145226,11.461462,-18.511393,-18.117592,-18.56829,44,TpC-ord-A5-pp-N-T26d
6,0.002193943,1585.5294360772245,1644.2300413854732,2077.9541015625,0.08056640625,-766.7427,21.90926,-71.67124,-30.112,-28.107496,3.8126693,9.816608,23.645954,41.884796,18.074614,-21.521915,-22.315964,-23.1445,44,TpC-ord-A5-pp-N-T26d
7,0.0025510003,1573.0651701459933,1587.6000708530855,1991.8212890625,0.080078125,-761.04266,23.503147,-76.70216,-34.726448,-29.844624,8.974117,13.460798,25.265903,38.96634,17.788425,-18.266329,-17.94381,-20.63627,44,TpC-ord-A5-pp-N-T26d
8,0.0031878205,1547.1723440900969,1492.8540468216825,1830.322265625,0.080078125,-730.9343,29.859806,-87.52457,-40.281067,-31.016167,11.582286,10.239115,25.490845,35.277534,21.258522,-13.825987,-18.115639,-18.031818,44,TpC-ord-A5-pp-N-T26d
9,0.0040047606,1570.2387634177069,1408.8679163571305,1862.6220703125,0.080078125,-701.19806,27.914383,-105.36264,-47.388115,-30.372534,8.797966,3.366002,26.651007,37.799202,26.066353,-10.129036,-19.518036,-17.016903,44,TpC-ord-A5-pp-N-T26d
10,0.0046476354,1538.6430690030284,1344.1879860755982,1776.4892578125,0.080078125,-701.90826,18.501232,-104.447334,-45.175663,-25.817171,8.697457,0.14237133,25.796377,40.16556,27.41578,-10.782687,-22.892025,-21.001303,44,TpC-ord-A5-pp-N-T26d
11,0.005091313,1531.0129425613065,1354.7237585859639,1765.72265625,0.080078125,-714.1739,11.508642,-89.75711,-37.660873,-23.115772,3.1698377,-4.171705,27.627213,43.66546,27.837938,-16.178513,-31.910822,-23.800377,44,TpC-ord-A5-pp-N-T26d
